Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
ERR675519	raw	24309570.0	3958073690	24309570.0	3958073690	0	0	2019-03-27-15:14:18
ERR675519	deduplicated	24086258.0	3920339256	24086258.0	3920339256	0	0	2019-03-27-21:31:34
ERR675519	filtered	24014131.0	3832814519	22418947.0	3704543207	1595184	128271312	2019-03-28-03:10:44
ERR675519	clean	23963282.0	3824423301	22370003.0	3696310439	1593279	128112862	2019-04-01-05:01:38
ERR675519	QC	23963282.0	3824423301	22370003.0	3696310439	1593279	128112862	2019-04-01-05:04:50
