NODE_1_length_426476_cov_20.919868	nz: 5	SRS1992958_vamb_370:0.995363	SRS1992958_vamb_664:0.00268182	SRS1992958_vamb_2394:0.000815445	SRS1992958_vamb_615:0.000580049	SRS1992958_vamb_1046:0.000160081
NODE_2_length_382687_cov_21.297419	nz: 5	SRS1992958_vamb_370:0.99467	SRS1992958_vamb_664:0.00206387	SRS1992958_vamb_2394:0.000510118	SRS1992958_vamb_615:0.000380342	SRS1992958_vamb_1046:0.00014068
NODE_3_length_335529_cov_199.766027	nz: 5	SRS1992958_vamb_615:0.86723	SRS1992958_vamb_2394:0.131667	SRS1992958_vamb_664:0.000749027	SRS1992958_vamb_1046:0.000168057	SRS1992958_vamb_370:0.000117775
NODE_4_length_313833_cov_39.907030	nz: 4	SRS1992958_vamb_2394:0.934262	SRS1992958_vamb_615:0.0655314	SRS1992958_vamb_664:0.000103005	SRS1992958_vamb_370:0.000101249
NODE_5_length_246210_cov_27.986541	nz: 5	SRS1992958_vamb_370:0.996996	SRS1992958_vamb_664:0.00260033	SRS1992958_vamb_2394:0.000213498	SRS1992958_vamb_615:0.00014899	SRS1992958_vamb_1046:2.33811e-05
NODE_6_length_227633_cov_137.557246	nz: 4	SRS1992958_vamb_615:0.851411	SRS1992958_vamb_2394:0.148583	SRS1992958_vamb_664:3.31082e-06	SRS1992958_vamb_370:1.56748e-06
NODE_7_length_221625_cov_24.199950	nz: 5	SRS1992958_vamb_370:0.997767	SRS1992958_vamb_664:0.00191455	SRS1992958_vamb_1046:0.000199653	SRS1992958_vamb_615:4.28579e-05	SRS1992958_vamb_2394:3.42475e-05
NODE_8_length_220067_cov_236.764536	nz: 4	SRS1992958_vamb_615:0.807748	SRS1992958_vamb_2394:0.188401	SRS1992958_vamb_664:0.00193102	SRS1992958_vamb_370:0.00191367
NODE_10_length_204938_cov_20.462942	nz: 5	SRS1992958_vamb_370:0.990891	SRS1992958_vamb_664:0.00886703	SRS1992958_vamb_2394:0.000100256	SRS1992958_vamb_615:7.01608e-05	SRS1992958_vamb_1046:2.24387e-05
NODE_9_length_205109_cov_49.283291	nz: 4	SRS1992958_vamb_2394:0.907976	SRS1992958_vamb_615:0.0918804	SRS1992958_vamb_664:7.18948e-05	SRS1992958_vamb_370:6.93811e-05
NODE_11_length_181903_cov_147.746783	nz: 4	SRS1992958_vamb_615:0.800449	SRS1992958_vamb_2394:0.199538	SRS1992958_vamb_370:6.22547e-06	SRS1992958_vamb_664:6.01607e-06
NODE_12_length_181103_cov_173.717556	nz: 4	SRS1992958_vamb_615:0.917244	SRS1992958_vamb_2394:0.0818753	SRS1992958_vamb_370:0.000487174	SRS1992958_vamb_664:0.000391971
NODE_13_length_180141_cov_17.891524	nz: 5	SRS1992958_vamb_370:0.963612	SRS1992958_vamb_664:0.0358251	SRS1992958_vamb_1046:9.79963e-05	SRS1992958_vamb_2394:6.33324e-05	SRS1992958_vamb_615:5.28204e-05
NODE_14_length_177834_cov_25.813926	nz: 5	SRS1992958_vamb_370:0.951736	SRS1992958_vamb_664:0.0367522	SRS1992958_vamb_1046:0.0100064	SRS1992958_vamb_615:0.000972758	SRS1992958_vamb_2394:4.32349e-05
NODE_15_length_174035_cov_246.969347	nz: 4	SRS1992958_vamb_615:0.732209	SRS1992958_vamb_2394:0.266595	SRS1992958_vamb_664:0.000601534	SRS1992958_vamb_370:0.000592209
NODE_16_length_169615_cov_18.892333	nz: 5	SRS1992958_vamb_370:0.995627	SRS1992958_vamb_664:0.000413168	SRS1992958_vamb_1046:0.000172825	SRS1992958_vamb_615:4.30988e-05	SRS1992958_vamb_2394:3.8811e-05
NODE_17_length_158184_cov_17.494343	nz: 5	SRS1992958_vamb_370:0.999275	SRS1992958_vamb_664:0.000424164	SRS1992958_vamb_2394:0.000161963	SRS1992958_vamb_615:0.000112912	SRS1992958_vamb_1046:6.82299e-06
NODE_18_length_154952_cov_163.616442	nz: 4	SRS1992958_vamb_615:0.786493	SRS1992958_vamb_2394:0.213124	SRS1992958_vamb_370:0.00020392	SRS1992958_vamb_664:0.000177295
NODE_19_length_151541_cov_169.872133	nz: 4	SRS1992958_vamb_2394:0.683163	SRS1992958_vamb_615:0.316509	SRS1992958_vamb_370:0.000170051	SRS1992958_vamb_664:0.000155815
NODE_20_length_136633_cov_64.664873	nz: 4	SRS1992958_vamb_2394:0.81962	SRS1992958_vamb_615:0.178543	SRS1992958_vamb_370:0.00101877	SRS1992958_vamb_664:0.000814306
NODE_21_length_135393_cov_29.615282	nz: 5	SRS1992958_vamb_370:0.995145	SRS1992958_vamb_664:0.00283358	SRS1992958_vamb_2394:0.000456039	SRS1992958_vamb_615:0.000321421	SRS1992958_vamb_1046:0.000185056
NODE_22_length_129218_cov_20.529834	nz: 5	SRS1992958_vamb_370:0.999081	SRS1992958_vamb_664:0.000565921	SRS1992958_vamb_1046:0.000107216	SRS1992958_vamb_2394:6.49857e-05	SRS1992958_vamb_615:5.48102e-05
NODE_23_length_126878_cov_17.687825	nz: 5	SRS1992958_vamb_370:0.997904	SRS1992958_vamb_664:0.00130793	SRS1992958_vamb_2394:0.000134723	SRS1992958_vamb_615:0.000104591	SRS1992958_vamb_1046:0.000104538
NODE_24_length_124476_cov_38.140330	nz: 4	SRS1992958_vamb_2394:0.740453	SRS1992958_vamb_615:0.25946	SRS1992958_vamb_370:4.59235e-05	SRS1992958_vamb_664:3.97768e-05
NODE_25_length_123169_cov_25.556663	nz: 5	SRS1992958_vamb_370:0.990402	SRS1992958_vamb_664:0.00589273	SRS1992958_vamb_2394:0.00179496	SRS1992958_vamb_615:0.00130027	SRS1992958_vamb_1046:0.000392442
NODE_26_length_121941_cov_18.059966	nz: 5	SRS1992958_vamb_370:0.992438	SRS1992958_vamb_664:0.00725294	SRS1992958_vamb_2394:0.000104386	SRS1992958_vamb_1046:9.32543e-05	SRS1992958_vamb_615:8.02694e-05
NODE_27_length_121599_cov_199.765501	nz: 4	SRS1992958_vamb_615:0.947464	SRS1992958_vamb_2394:0.0520274	SRS1992958_vamb_370:0.000272236	SRS1992958_vamb_664:0.000234439
NODE_28_length_108754_cov_17.396968	nz: 5	SRS1992958_vamb_370:0.981598	SRS1992958_vamb_664:0.0180913	SRS1992958_vamb_2394:0.000134685	SRS1992958_vamb_615:9.65085e-05	SRS1992958_vamb_1046:3.59499e-05
NODE_29_length_107346_cov_22.435889	nz: 5	SRS1992958_vamb_370:0.993547	SRS1992958_vamb_664:0.00489041	SRS1992958_vamb_1046:0.000614903	SRS1992958_vamb_2394:0.000411393	SRS1992958_vamb_615:0.000354567
NODE_30_length_105195_cov_87.240375	nz: 5	SRS1992958_vamb_664:0.999286	SRS1992958_vamb_1046:0.0003832	SRS1992958_vamb_615:0.000119452	SRS1992958_vamb_370:0.000107401	SRS1992958_vamb_2394:1.56538e-05
NODE_31_length_98348_cov_56.198509	nz: 4	SRS1992958_vamb_2394:0.862565	SRS1992958_vamb_615:0.137322	SRS1992958_vamb_664:5.65882e-05	SRS1992958_vamb_370:5.52186e-05
