,Scaffold,Bin,Color
32149,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
1287056,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
27013,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
31399,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
70482,NODE_9_length_205109_cov_49.283291,SRS1992958_vamb_2394,#ffe119
23653,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
3832440,NODE_153_length_29296_cov_51.424883,multiple,darkblue
28835,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
11853,NODE_1174_length_2976_cov_102.061280,grey,grey
19677,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
4010918,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
2306881,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
2254633,NODE_55_length_70716_cov_135.467429,SRS1992958_vamb_615,#3cb44b
2452143,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
22915,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
2235,NODE_20_length_136633_cov_64.664873,SRS1992958_vamb_2394,#ffe119
30459,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
3879894,NODE_201_length_21755_cov_55.496866,multiple,darkblue
27457,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
70472,NODE_201_length_21755_cov_55.496866,multiple,darkblue
17852,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
531500,NODE_55_length_70716_cov_135.467429,SRS1992958_vamb_615,#3cb44b
9956,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
41527,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
59483,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
667878,NODE_424_length_9479_cov_37.607916,grey,grey
667884,NODE_424_length_9479_cov_37.607916,grey,grey
667890,NODE_424_length_9479_cov_37.607916,grey,grey
667902,NODE_424_length_9479_cov_37.607916,grey,grey
3134939,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
252813,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
2213701,NODE_148_length_30169_cov_64.055688,SRS1992958_vamb_2394,#ffe119
428385,NODE_148_length_30169_cov_64.055688,SRS1992958_vamb_2394,#ffe119
3837336,NODE_69_length_55452_cov_40.575753,SRS1992958_vamb_2394,#ffe119
18771,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
576045,NODE_32_length_94378_cov_160.538373,SRS1992958_vamb_615,#3cb44b
127996,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
64598,NODE_335_length_12485_cov_52.537651,grey,grey
64606,NODE_335_length_12485_cov_52.537651,grey,grey
64612,NODE_335_length_12485_cov_52.537651,grey,grey
64620,NODE_335_length_12485_cov_52.537651,grey,grey
64626,NODE_335_length_12485_cov_52.537651,grey,grey
64632,NODE_335_length_12485_cov_52.537651,grey,grey
64638,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
64644,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
64650,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
64656,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
64662,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
64668,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
1284270,NODE_148_length_30169_cov_64.055688,SRS1992958_vamb_2394,#ffe119
7055,NODE_148_length_30169_cov_64.055688,SRS1992958_vamb_2394,#ffe119
26543,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
17752,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
26525,NODE_124_length_35386_cov_53.551018,multiple,darkblue
26512,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
26498,NODE_56_length_70022_cov_44.475210,SRS1992958_vamb_2394,#ffe119
1285,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
759887,NODE_31_length_98348_cov_56.198509,SRS1992958_vamb_2394,#ffe119
25815,NODE_31_length_98348_cov_56.198509,SRS1992958_vamb_2394,#ffe119
2496227,NODE_18_length_154952_cov_163.616442,SRS1992958_vamb_615,#3cb44b
3574768,NODE_18_length_154952_cov_163.616442,SRS1992958_vamb_615,#3cb44b
25813,NODE_6387_length_228_cov_257.098266,grey,grey
2970549,NODE_18_length_154952_cov_163.616442,SRS1992958_vamb_615,#3cb44b
68736,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3050019,NODE_53_length_72464_cov_78.516510,SRS1992958_vamb_2394,#ffe119
29999,NODE_53_length_72464_cov_78.516510,SRS1992958_vamb_2394,#ffe119
68432,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1276473,NODE_44_length_79875_cov_70.701553,SRS1992958_vamb_2394,#ffe119
107709,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3877278,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
3877270,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
3877264,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
31999,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
1272118,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
21779,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
12395,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
1272150,NODE_335_length_12485_cov_52.537651,grey,grey
1272156,NODE_335_length_12485_cov_52.537651,grey,grey
1272162,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
1272168,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
1272174,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
1274374,NODE_214_length_20870_cov_45.177901,SRS1992958_vamb_2394,#ffe119
28403,NODE_851_length_4133_cov_73.995096,grey,grey
1274731,NODE_851_length_4133_cov_73.995096,grey,grey
1285717,NODE_88_length_46386_cov_67.800932,multiple,darkblue
12353,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
9132,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
246147,NODE_205_length_21455_cov_56.369907,SRS1992958_vamb_615,#3cb44b
362415,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
64676,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
1274659,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
1274665,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
1274671,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
1274677,NODE_851_length_4133_cov_73.995096,grey,grey
32161,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
14660,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
63408,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3790741,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1561743,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3978287,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
33317,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
2666419,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
69476,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3091001,NODE_53_length_72464_cov_78.516510,SRS1992958_vamb_2394,#ffe119
3935537,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
2098863,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
1470638,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
1470632,NODE_31_length_98348_cov_56.198509,SRS1992958_vamb_2394,#ffe119
21835,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
14139,NODE_57_length_69098_cov_49.060672,SRS1992958_vamb_2394,#ffe119
24014,NODE_57_length_69098_cov_49.060672,SRS1992958_vamb_2394,#ffe119
6638,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
4008313,NODE_88_length_46386_cov_67.800932,multiple,darkblue
3398059,NODE_57_length_69098_cov_49.060672,SRS1992958_vamb_2394,#ffe119
23837,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
5015,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
68662,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
462360,NODE_9_length_205109_cov_49.283291,SRS1992958_vamb_2394,#ffe119
232604,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
24041,NODE_57_length_69098_cov_49.060672,SRS1992958_vamb_2394,#ffe119
3874724,NODE_148_length_30169_cov_64.055688,SRS1992958_vamb_2394,#ffe119
3874718,NODE_148_length_30169_cov_64.055688,SRS1992958_vamb_2394,#ffe119
1274777,NODE_851_length_4133_cov_73.995096,grey,grey
26403,NODE_851_length_4133_cov_73.995096,grey,grey
1274759,NODE_851_length_4133_cov_73.995096,grey,grey
1274725,NODE_851_length_4133_cov_73.995096,grey,grey
1274719,NODE_851_length_4133_cov_73.995096,grey,grey
1274713,NODE_851_length_4133_cov_73.995096,grey,grey
1274707,NODE_851_length_4133_cov_73.995096,grey,grey
1274701,NODE_851_length_4133_cov_73.995096,grey,grey
1274695,NODE_851_length_4133_cov_73.995096,grey,grey
1274689,NODE_851_length_4133_cov_73.995096,grey,grey
1274683,NODE_851_length_4133_cov_73.995096,grey,grey
64592,NODE_335_length_12485_cov_52.537651,grey,grey
64586,NODE_335_length_12485_cov_52.537651,grey,grey
64580,NODE_335_length_12485_cov_52.537651,grey,grey
64574,NODE_335_length_12485_cov_52.537651,grey,grey
64568,NODE_335_length_12485_cov_52.537651,grey,grey
64562,NODE_335_length_12485_cov_52.537651,grey,grey
64556,NODE_335_length_12485_cov_52.537651,grey,grey
64550,NODE_335_length_12485_cov_52.537651,grey,grey
64544,NODE_335_length_12485_cov_52.537651,grey,grey
64538,NODE_335_length_12485_cov_52.537651,grey,grey
64532,NODE_335_length_12485_cov_52.537651,grey,grey
64526,NODE_335_length_12485_cov_52.537651,grey,grey
64520,NODE_335_length_12485_cov_52.537651,grey,grey
64512,NODE_335_length_12485_cov_52.537651,grey,grey
1589963,NODE_44_length_79875_cov_70.701553,SRS1992958_vamb_2394,#ffe119
68748,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
685356,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
1224916,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
39729,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
75506,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
75512,NODE_406_length_9964_cov_58.985771,grey,grey
75518,NODE_406_length_9964_cov_58.985771,grey,grey
120071,NODE_406_length_9964_cov_58.985771,grey,grey
23167,NODE_406_length_9964_cov_58.985771,grey,grey
1275522,NODE_406_length_9964_cov_58.985771,grey,grey
1275516,NODE_406_length_9964_cov_58.985771,grey,grey
26407,NODE_406_length_9964_cov_58.985771,grey,grey
1275490,NODE_406_length_9964_cov_58.985771,grey,grey
10884,NODE_406_length_9964_cov_58.985771,grey,grey
10886,NODE_406_length_9964_cov_58.985771,grey,grey
17889,NODE_406_length_9964_cov_58.985771,grey,grey
1276386,NODE_406_length_9964_cov_58.985771,grey,grey
19507,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
1276362,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
1276356,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
1276350,NODE_164_length_26800_cov_62.544999,SRS1992958_vamb_2394,#ffe119
1276344,NODE_96_length_43905_cov_74.824675,SRS1992958_vamb_2394,#ffe119
1275860,NODE_170_length_26204_cov_40.632185,SRS1992958_vamb_2394,#ffe119
1275866,NODE_9_length_205109_cov_49.283291,SRS1992958_vamb_2394,#ffe119
15473,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3939129,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1375981,NODE_335_length_12485_cov_52.537651,grey,grey
1375987,NODE_335_length_12485_cov_52.537651,grey,grey
1375993,NODE_335_length_12485_cov_52.537651,grey,grey
64500,NODE_335_length_12485_cov_52.537651,grey,grey
64506,NODE_335_length_12485_cov_52.537651,grey,grey
69204,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
16479,NODE_153_length_29296_cov_51.424883,multiple,darkblue
16475,NODE_153_length_29296_cov_51.424883,multiple,darkblue
16481,NODE_153_length_29296_cov_51.424883,multiple,darkblue
2513419,NODE_153_length_29296_cov_51.424883,multiple,darkblue
18473,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3865611,NODE_44_length_79875_cov_70.701553,SRS1992958_vamb_2394,#ffe119
45726,NODE_7306_length_69_cov_250.214286,grey,grey
3875506,NODE_851_length_4133_cov_73.995096,grey,grey
973771,NODE_205_length_21455_cov_56.369907,SRS1992958_vamb_615,#3cb44b
3996549,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
64494,NODE_44_length_79875_cov_70.701553,SRS1992958_vamb_2394,#ffe119
24730,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1824740,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
70538,NODE_19_length_151541_cov_169.872688,grey,grey
4741,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
25025,NODE_2208_length_1435_cov_147.267391,grey,grey
20677,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
601691,NODE_123_length_35565_cov_49.002985,SRS1992958_vamb_2394,#ffe119
3790848,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
69154,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1375963,NODE_335_length_12485_cov_52.537651,grey,grey
1375969,NODE_335_length_12485_cov_52.537651,grey,grey
1375975,NODE_335_length_12485_cov_52.537651,grey,grey
23941,NODE_335_length_12485_cov_52.537651,grey,grey
1376173,NODE_335_length_12485_cov_52.537651,grey,grey
3500892,NODE_335_length_12485_cov_52.537651,grey,grey
1291037,NODE_335_length_12485_cov_52.537651,grey,grey
21777,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
3839918,NODE_205_length_21455_cov_56.369907,SRS1992958_vamb_615,#3cb44b
3872714,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
1168875,NODE_250_length_17472_cov_37.178102,SRS1992958_vamb_2394,#ffe119
28185,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1470656,NODE_9_length_205109_cov_49.283291,SRS1992958_vamb_2394,#ffe119
68536,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
1490337,NODE_96_length_43905_cov_74.824675,SRS1992958_vamb_2394,#ffe119
32869,NODE_313_length_13861_cov_54.428509,grey,grey
1025033,NODE_313_length_13861_cov_54.428509,grey,grey
3018408,NODE_4_length_313833_cov_39.907030,SRS1992958_vamb_2394,#ffe119
18921,NODE_5_length_246210_cov_27.986541,SRS1992958_vamb_370,#e6194b
9678,NODE_5_length_246210_cov_27.986541,SRS1992958_vamb_370,#e6194b
3980,NODE_5_length_246210_cov_27.986541,SRS1992958_vamb_370,#e6194b
2447656,NODE_22_length_129218_cov_20.529834,SRS1992958_vamb_370,#e6194b
720329,NODE_22_length_129218_cov_20.529834,SRS1992958_vamb_370,#e6194b
3278729,NODE_14_length_177834_cov_25.813926,SRS1992958_vamb_370,#e6194b
4020839,NODE_5_length_246210_cov_27.986541,SRS1992958_vamb_370,#e6194b
15431,NODE_5_length_246210_cov_27.986541,SRS1992958_vamb_370,#e6194b
37610,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
92807,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
52796,NODE_431_length_9327_cov_76.299827,grey,grey
23013,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
51287,NODE_431_length_9327_cov_76.299827,grey,grey
23527,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
2467833,NODE_9_length_205109_cov_49.283291,SRS1992958_vamb_2394,#ffe119
124358,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
41216,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
18465,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
5666,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
3891416,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
23195,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
6525,NODE_20_length_136633_cov_64.664873,SRS1992958_vamb_2394,#ffe119
3497998,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
706513,NODE_20_length_136633_cov_64.664873,SRS1992958_vamb_2394,#ffe119
3970398,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
949539,NODE_20_length_136633_cov_64.664873,SRS1992958_vamb_2394,#ffe119
3928720,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
90321,NODE_20_length_136633_cov_64.664873,SRS1992958_vamb_2394,#ffe119
113969,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
2386797,NODE_20_length_136633_cov_64.664873,SRS1992958_vamb_2394,#ffe119
33285,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
4000289,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
21013,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
3461820,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
30983,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
233520,NODE_24_length_124476_cov_38.141929,grey,grey
3252,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
1361797,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
3250,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
716456,NODE_19_length_151541_cov_169.872688,grey,grey
8251,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
8253,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
1293125,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
2969137,NODE_28_length_108754_cov_17.396968,SRS1992958_vamb_370,#e6194b
2619293,NODE_28_length_108754_cov_17.396968,SRS1992958_vamb_370,#e6194b
2876497,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
659402,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
3741927,NODE_26_length_121941_cov_18.059966,SRS1992958_vamb_370,#e6194b
470868,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
3984973,NODE_26_length_121941_cov_18.059966,SRS1992958_vamb_370,#e6194b
3737018,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
3831267,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
1296504,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
1829916,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
1572064,NODE_144_length_31334_cov_33.580262,SRS1992958_vamb_370,#e6194b
744648,NODE_7_length_221625_cov_24.199950,SRS1992958_vamb_370,#e6194b
32683,NODE_8_length_220067_cov_236.764536,SRS1992958_vamb_615,#3cb44b
2414847,NODE_1288_length_2654_cov_42.070027,grey,grey
29767,NODE_8_length_220067_cov_236.764536,SRS1992958_vamb_615,#3cb44b
3561237,NODE_205_length_21455_cov_56.369907,SRS1992958_vamb_615,#3cb44b
30855,NODE_8_length_220067_cov_236.764536,SRS1992958_vamb_615,#3cb44b
4025437,NODE_32_length_94378_cov_160.538373,SRS1992958_vamb_615,#3cb44b
13047,NODE_37_length_88686_cov_204.785459,SRS1992958_vamb_615,#3cb44b
53566,NODE_2255_length_1410_cov_1769.450185,grey,grey
