NODE_1_length_426476_cov_20.919868	SRS1992958_vamb_370
NODE_2_length_382687_cov_21.297419	SRS1992958_vamb_370
NODE_3_length_335529_cov_199.766027	SRS1992958_vamb_615
NODE_4_length_313833_cov_39.907030	SRS1992958_vamb_2394
NODE_5_length_246210_cov_27.986541	SRS1992958_vamb_370
NODE_6_length_227633_cov_137.557246	SRS1992958_vamb_615
NODE_7_length_221625_cov_24.199950	SRS1992958_vamb_370
NODE_8_length_220067_cov_236.764536	SRS1992958_vamb_615
NODE_10_length_204938_cov_20.462942	SRS1992958_vamb_370
NODE_9_length_205109_cov_49.283291	SRS1992958_vamb_2394
NODE_11_length_181903_cov_147.746783	SRS1992958_vamb_615
NODE_12_length_181103_cov_173.717556	SRS1992958_vamb_615
NODE_13_length_180141_cov_17.891524	SRS1992958_vamb_370
NODE_14_length_177834_cov_25.813926	SRS1992958_vamb_370
NODE_15_length_174035_cov_246.969347	SRS1992958_vamb_615
NODE_16_length_169615_cov_18.892333	SRS1992958_vamb_370
NODE_17_length_158184_cov_17.494343	SRS1992958_vamb_370
NODE_18_length_154952_cov_163.616442	SRS1992958_vamb_615
NODE_19_length_151541_cov_169.872133	SRS1992958_vamb_2394
NODE_20_length_136633_cov_64.664873	SRS1992958_vamb_2394
NODE_21_length_135393_cov_29.615282	SRS1992958_vamb_370
NODE_22_length_129218_cov_20.529834	SRS1992958_vamb_370
NODE_23_length_126878_cov_17.687825	SRS1992958_vamb_370
NODE_24_length_124476_cov_38.140330	SRS1992958_vamb_2394
NODE_25_length_123169_cov_25.556663	SRS1992958_vamb_370
NODE_26_length_121941_cov_18.059966	SRS1992958_vamb_370
NODE_27_length_121599_cov_199.765501	SRS1992958_vamb_615
NODE_28_length_108754_cov_17.396968	SRS1992958_vamb_370
NODE_29_length_107346_cov_22.435889	SRS1992958_vamb_370
NODE_30_length_105195_cov_87.240375	SRS1992958_vamb_664
NODE_31_length_98348_cov_56.198509	SRS1992958_vamb_2394
NODE_32_length_94378_cov_160.538373	SRS1992958_vamb_615
NODE_33_length_93410_cov_110.165326	SRS1992958_vamb_664
NODE_34_length_91922_cov_29.478561	SRS1992958_vamb_370
NODE_35_length_90956_cov_115.693590	SRS1992958_vamb_664
NODE_36_length_89198_cov_112.015324	SRS1992958_vamb_664
NODE_37_length_88686_cov_204.785459	SRS1992958_vamb_615
NODE_38_length_86830_cov_21.211835	SRS1992958_vamb_370
NODE_39_length_86023_cov_111.505409	SRS1992958_vamb_664
NODE_40_length_85726_cov_93.187917	SRS1992958_vamb_664
NODE_41_length_85473_cov_172.743216	SRS1992958_vamb_664
NODE_42_length_82690_cov_190.683161	SRS1992958_vamb_664
NODE_43_length_81513_cov_19.764161	SRS1992958_vamb_370
NODE_45_length_79821_cov_166.392899	SRS1992958_vamb_664
NODE_46_length_79230_cov_154.559975	SRS1992958_vamb_664
NODE_44_length_79875_cov_70.701553	SRS1992958_vamb_2394
NODE_47_length_77863_cov_185.337870	SRS1992958_vamb_664
NODE_48_length_77334_cov_149.214961	SRS1992958_vamb_664
NODE_49_length_75686_cov_31.701247	SRS1992958_vamb_370
NODE_50_length_75040_cov_112.980703	SRS1992958_vamb_664
NODE_51_length_74859_cov_24.623108	SRS1992958_vamb_370
NODE_52_length_72475_cov_115.430641	SRS1992958_vamb_664
NODE_53_length_72464_cov_78.516510	SRS1992958_vamb_2394
NODE_54_length_71432_cov_28.889642	SRS1992958_vamb_370
NODE_55_length_70716_cov_135.467429	SRS1992958_vamb_615
NODE_56_length_70022_cov_44.475210	SRS1992958_vamb_2394
NODE_57_length_69098_cov_49.060672	SRS1992958_vamb_2394
NODE_58_length_68545_cov_160.647423	SRS1992958_vamb_664
NODE_59_length_68108_cov_51.423890	SRS1992958_vamb_2394
NODE_60_length_67030_cov_127.722523	SRS1992958_vamb_664
NODE_61_length_63587_cov_18.087263	SRS1992958_vamb_370
NODE_62_length_62372_cov_107.446556	SRS1992958_vamb_664
NODE_63_length_59812_cov_99.097261	SRS1992958_vamb_664
NODE_64_length_59643_cov_162.045798	SRS1992958_vamb_664
NODE_65_length_59616_cov_18.056799	SRS1992958_vamb_370
NODE_66_length_58267_cov_158.421030	SRS1992958_vamb_664
