genome	MAG	Representative
SRS1993132_vamb_245	MAG87	SRS1993132_vamb_245
SRS1993132_vamb_4798	MAG06	SRS1993132_vamb_4798
SRS1993132_vamb_602	MAG02	SRS1992958_vamb_2840
SRS1993132_vamb_701	MAG28	SRS1992974_vamb_216
SRS1993134_vamb_126	MAG21	SRS1993000_vamb_126
SRS1993134_vamb_1324	MAG40	SRS1993001_vamb_200
SRS1993134_vamb_1802	MAG88	SRS1993134_vamb_1802
SRS1993134_vamb_2281	MAG41	SRS1993002_vamb_903
SRS1993134_vamb_260	MAG61	SRS1993134_vamb_260
SRS1993134_vamb_267	MAG57	SRS1993000_vamb_267
SRS1993134_vamb_274	MAG89	SRS1993134_vamb_274
SRS1993134_vamb_278	MAG90	SRS1993134_vamb_278
SRS1993134_vamb_343	MAG67	SRS1993134_vamb_343
SRS1993134_vamb_644	MAG91	SRS1993134_vamb_644
SRS1993134_vamb_681	MAG14	SRS1992995_vamb_640
SRS1993134_vamb_743	MAG85	SRS1993140_vamb_743
SRS1993140_vamb_1958	MAG36	SRS1993003_vamb_1521
SRS1993140_vamb_270	MAG07	SRS1993108_vamb_3038
SRS1993140_vamb_743	MAG85	SRS1993140_vamb_743
SRS1993140_vamb_918	MAG83	SRS1993150_vamb_125
SRS1993148_vamb_106	MAG62	SRS1993150_vamb_106
SRS1993148_vamb_1329	MAG07	SRS1993108_vamb_3038
SRS1993150_vamb_106	MAG62	SRS1993150_vamb_106
SRS1993150_vamb_125	MAG83	SRS1993150_vamb_125
SRS1993150_vamb_1329	MAG07	SRS1993108_vamb_3038
SRS1993150_vamb_1448	MAG03	SRS1992958_vamb_477
SRS1993150_vamb_1846	MAG11	SRS1992960_vamb_507
SRS1993150_vamb_241	MAG79	SRS1993150_vamb_241
SRS1993150_vamb_75	MAG78	SRS1993150_vamb_75
SRS1993150_vamb_982	MAG92	SRS1993150_vamb_982
SRS1993166_vamb_106	MAG62	SRS1993150_vamb_106
SRS1993166_vamb_1846	MAG11	SRS1992960_vamb_507
SRS1993166_vamb_598	MAG07	SRS1993108_vamb_3038
SRS1993172_vamb_106	MAG62	SRS1993150_vamb_106
SRS1993172_vamb_748	MAG85	SRS1993140_vamb_743
