	Mapping_rate
ERR675518	0.7164401195169309
ERR675519	0.6248764881204503
ERR675520	0.7347907571579426
ERR675521	0.5680910675807581
ERR675522	0.728062510484702
ERR675523	0.573176492717586
ERR675524	0.740856644621
ERR675525	0.5531161092282277
ERR675526	0.7085085664387198
ERR675527	0.7355964872054964
ERR675528	0.5552211504745455
ERR675529	0.7299237165934266
ERR675530	0.6211093212892193
ERR675531	0.5508727493465718
ERR675532	0.5450723790226858
