MAG01	11
MAG02	11
MAG03	11
MAG04	11
MAG05	11
MAG06	11
MAG07	11
MAG08	11
MAG09	11
MAG10	11
MAG11	11
MAG12	11
MAG13	11
MAG14	11
MAG15	11
MAG16	11
MAG17	11
MAG18	11
MAG19	11
MAG20	11
MAG21	11
MAG22	11
MAG23	11
MAG24	11
MAG25	11
MAG26	11
MAG27	11
MAG28	11
MAG29	11
MAG30	11
MAG31	11
MAG32	11
MAG33	11
MAG34	11
MAG35	11
MAG36	11
MAG37	11
MAG38	11
MAG39	11
MAG40	11
MAG41	11
MAG42	11
MAG43	11
MAG44	11
MAG45	11
MAG46	11
MAG47	11
MAG48	11
MAG49	11
MAG50	11
MAG51	11
MAG52	11
MAG53	11
MAG54	11
MAG55	11
MAG56	11
MAG57	11
MAG58	11
MAG59	11
MAG60	11
MAG61	11
MAG62	11
MAG63	11
